,film_id,title,original_language,genre_ids,release_date,popularity,vote_average,vote_count
1851,52451,The Three Musketeers,en,"[12, 28, 53]",2011-08-31,35.804,5.8,2476
1852,419680,Daddy's Home 2,en,[35],2017-11-09,35.781,6.3,2344
1853,446893,Trolls World Tour,en,"[10751, 16, 35, 14, 12, 10402]",2020-03-11,35.771,7.3,1920
1854,8839,Casper,en,"[14, 35, 10751]",1995-05-26,35.769,6.3,4268
1855,762,Monty Python and the Holy Grail,en,"[12, 35, 14]",1975-05-25,35.769,7.8,5278
1856,10010,Brother Bear 2,en,"[12, 16, 10751]",2006-08-17,35.744,6.6,1361
1857,109414,This Is the End,en,"[28, 35]",2013-06-12,35.74,6.2,5940
1858,8835,Legally Blonde,en,"[35, 10749]",2001-07-13,35.731,6.7,3615
1859,45288,Fighting Spirit - Mashiba vs. Kimura,ja,"[16, 35, 18, 28]",2003-09-05,35.728,6.2,25
1860,18823,Clash of the Titans,en,"[12, 14, 28]",2010-03-26,35.728,5.9,5862
1861,41630,No Strings Attached,en,"[35, 10749]",2011-01-21,35.705,6.3,4379
1862,39998,The Fruit is Swelling,cn,[10749],1997-03-12,35.702,4.9,11
1863,235331,High School Lynching,ja,[80],1975-07-23,35.701,3.0,2
1864,795514,The Fallout,en,[18],2021-03-17,35.698,7.7,878
1865,8834,Conspiracy Theory,en,"[28, 18, 9648, 53]",1997-08-08,35.686,6.6,1315
1866,11546,Police Academy: Mission to Moscow,en,"[35, 80]",1994-06-09,35.677,4.6,769
1867,58574,Sherlock Holmes: A Game of Shadows,en,"[12, 28, 80, 9648]",2011-11-22,35.651,7.1,9739
1868,62568,Angel Heart,zh,[18],1995-05-25,35.649,4.8,6
1869,667739,The Man from Toronto,en,"[28, 12, 35]",2022-12-23,35.637,6.5,216
1870,4478,Indecent Proposal,en,"[10749, 18]",1993-04-07,35.633,6.3,1257
1871,938,For a Few Dollars More,it,[37],1965-12-18,35.621,8.0,3551
1872,11587,The Exorcist III,en,"[27, 9648]",1990-08-17,35.619,6.2,654
1873,117251,White House Down,en,"[28, 18, 53]",2013-06-27,35.616,6.4,4419
1874,9982,Chicken Little,en,"[16, 10751, 35]",2005-11-04,35.597,5.9,3616
1875,1173883,The Ex-File 4: Early Marriage,zh,"[10749, 35]",2023-09-28,35.589,0.0,0
1876,15969,The Return of Jafar,en,"[10751, 12, 16, 10749]",1994-05-20,35.579,6.2,3203
1877,2770,American Pie 2,en,"[35, 10749]",2001-08-10,35.578,6.2,4551
1878,82386,Ranma ½: The Movie 3 — The Super Non-Discriminatory Showdown: Team Ranma vs. the Legendary Phoenix,ja,"[16, 35]",1994-08-20,35.523,7.6,33
1879,55580,P.O. Box Tinto Brass,it,[35],1995-08-30,35.516,5.6,80
1880,1024546,Detective Knight: Rogue,en,"[28, 80, 53]",2022-10-21,35.508,6.5,119
1881,9078,The Sword in the Stone,en,"[16, 10751]",1963-12-25,35.497,7.2,3554
1882,510,One Flew Over the Cuckoo's Nest,en,[18],1975-11-19,35.486,8.4,9645
1883,698438,Swapping: Perfect Neighbor,ko,[10749],2019-11-04,35.485,4.7,3
